aapl	320193
msft	789019
amzn	1018724
goog	1652044
fb	1326801
baba	1577552
tcehy	1293451
brk-a	1067983
v	1403161
tsla	1318605
tsm	1046179
wmt	104169
jnj	200406
pg	80424
nvda	1045810
unh	731766
hd	354950
spy	884394
jpm	19617
ma	1141391
lvmuy	824046
idcby	1445468
vz	732712
pypl	1633917
adbe	796343
crm	1108524
dis	1744489
nflx	1065280
bac	70858
ko	21344
tmo	97745
nke	320187
mrk	310158
cmcsa	1166691
pfe	78003
abt	1800
orcl	1341439
t	732717
nvs	1114448
pep	77476
tm	1094517
intc	50863
cichy	1445474
dhr	313616
orcl	1341439
cost	909832
abbv	1551152
nvo	353278
asml	937966
qcom	804328
acgby	1501437
cihky	1495688
mcd	63908
ul	217410
un	110390
csco	858877
avgo	1730168
lfc	1268896
acn	1467373
tmus	1283699
nee	753308
azn	901832
bmy	14272
txn	97476
ups	1090727
zm	1585521
xom	34088
mdt	1613103
lly	59478
cvx	93410
sap	1000184
jd	1549802
pdd	1737806
amgn	318154
chl	1117795
lin	1707925
unp	100885
chtr	1091667
hon	773840
bachy	1378999
low	60667
sny	1121404
shop	1594805
aagiy	1511634
bhp	811809
sftby	1065521
qqq	1067839
pm	1413329
bud	1668717
sne	313838
rtntf	887028
amt	1053507
ptr	1108329
sbux	829224
ry	1000275
hesay	1436949
now	1373715
rds-a	1306965
ibm	51143
lmt	936468
bbl	1171264
blk	1364742
amd	2488
ms	895421
mmm	66740
hdb	1144967
gsk	1131399
wfc	72971
intu	896878
hsbc	1089113
se	1703399
c	831001
ba	12927
cat	18230
rtx	101829
spgi	64040
el	1001250
isrg	1035267
tot	879764
deo	835403
ppruy	1445465
fis	1136893
td	947263
beke	1809587
zts	1555280
chdry	1450488
cvs	64803
mdlz	1103982
antm	1156039
tgt	27419
syk	310764
axp	4962
ci	1739940
pld	1045609
schw	316709
sq	1512673
de	315189
aiquy	1161167
bti	1303523
gild	882095
cni	16868
cta-pa	30554
uber	1543151
byddy	1445162
frcoy	1446595
rio	863064
fdx	1048911
snow	1640147
chgcy	1453934
bkng	1075531
sbgsy	923734
meli	1099590
cl	21665
dnngy	1679771
cci	1051470
ge	40545
d	715957
gs	886982
adp	8670
eqix	1101239
mo	764180
duk	1326160
fisv	798354
bdx	10795
apd	2969
snp	1123658
csx	277948
shw	89800
itw	49826
tjx	109198
eadsy	1378580
ntes	1110646
rbgly	1420798
amat	6951
so	92122
infy	1067491
njdcy	1158967
kddiy	1106215
dmlry	1067318
regn	872589
hkxcy	1445476
atvi	718877
snap	1564408
cb	896159
usb	36104
mu	723125
dkily	1446519
tfc	92230
vmw	1124610
shecy	1442651
hum	49071
vale	917851
nio	1736541
lrcx	707549
pstvy	1689565
enb	895728
nsc	702165
esloy	1085922
vrtx	875320
pgr	80661
ice	1571949
adsk	769397
ecl	31462
abb	1091587
mmc	62709
mco	1059556
nem	1164727
dg	29534
cme	1156375
wday	1327811
gm	1467858
bam	1001085
mufg	67088
bp	313807
tak	1395064
bns	9631
gpn	1123360
gold	756894
noc	1133421
race	1648416
lzagy	1446711
biib	875045
wm	823768
bsx	885725
safry	1364012
team	1650372
pnc	713676
bnpqy	310732
twlo	1447669
vcisy	1065198
bidu	1329099
spot	1639920
csuay	1445470
ew	1099800
olcly	1545460
adi	6281
